[notice] To update, run: pip install --upgrade pip
      old       new  file
   326.1K     73.8K  src/assets/images/f8f1a5b57a11f48b4845177ed85bf0e0ce6512a1.png
  1263.7K    165.2K  src/assets/images/f9c5183ac158cef9ca41f24d7c27c0a86cc4e6fd.png
   619.7K    172.7K  src/assets/images/fajar.jpg
  1134.1K     24.1K  src/assets/images/gold.png
   665.7K     49.7K  src/assets/images/handphone.png
   578.9K    174.2K  src/assets/images/kevin.jpg
   962.0K    354.5K  src/assets/images/maya.jpg
   940.5K    328.9K  src/assets/images/nadia.jpg
   678.5K     75.3K  src/assets/images/one.png
   489.4K    133.0K  src/assets/images/rizki.jpg
   322.8K     86.8K  src/assets/images/salsa.jpg
  1024.6K    124.5K  src/assets/images/three.png
  1199.5K    116.3K  src/assets/images/two.png

rasters+svgs: 143.6 MB -> 8.2 MB
renamed to .webp: 77 files
WARN: no reference found for 6412e25d5ba5c5e93d27bf0d202fd0549440c072.png
